import time: self [us] | cumulative | imported package
import time:       139 |        139 | winreg
import time:       332 |        332 |   _io
import time:        59 |         59 |   marshal
import time:       268 |        268 |   nt
import time:       872 |       1530 | _frozen_importlib_external
import time:       736 |        736 |   time
import time:       344 |       1079 | zipimport
import time:       127 |        127 |     _codecs
import time:       914 |       1041 |   codecs
import time:      1604 |       1604 |   encodings.aliases
import time:       656 |        656 |   encodings._win_cp_codecs
import time:      4014 |       7314 | encodings
import time:       577 |        577 | encodings.utf_8
import time:       614 |        614 | encodings.cp1252
import time:        99 |         99 | _signal
import time:        43 |         43 |       _abc
import time:       191 |        234 |     abc
import time:        55 |         55 |       _stat
import time:       160 |        215 |     stat
import time:       887 |        887 |     _collections_abc
import time:       131 |        131 |       genericpath
import time:       133 |        133 |       _winapi
import time:       293 |        557 |     ntpath
import time:       559 |       2450 |   os
import time:       122 |        122 |   _sitebuiltins
import time:        71 |         71 |   errno
import time:       951 |        951 |   encodings.utf_8_sig
import time:       349 |        349 |     _types
import time:      2077 |       2426 |   types
import time:      1902 |       1902 |     importlib
import time:      1150 |       1150 |     importlib._abc
import time:       635 |       3686 |   importlib.util
import time:        87 |         87 |   importlib.machinery
import time:      3424 |       3424 |   sitecustomize
import time:     68616 |      81829 | site
import time:      3294 |       3294 | linecache
import time:       245 |        245 |   io
import time:      4723 |       4723 |     enum
import time:       236 |        236 |       _sre
import time:       653 |        653 |         re._constants
import time:       777 |       1429 |       re._parser
import time:       452 |        452 |       re._casefix
import time:      1021 |       3137 |     re._compiler
import time:       132 |        132 |         itertools
import time:      1173 |       1173 |         keyword
import time:        81 |         81 |           _operator
import time:      1335 |       1416 |         operator
import time:      1061 |       1061 |         reprlib
import time:        80 |         80 |         _collections
import time:      1841 |       5701 |       collections
import time:        65 |         65 |       _functools
import time:      1804 |       7569 |     functools
import time:      3852 |       3852 |     copyreg
import time:      2053 |      21332 |   re
import time:        66 |         66 |         _json
import time:       687 |        753 |       json.scanner
import time:       880 |       1632 |     json.decoder
import time:      1080 |       1080 |     json.encoder
import time:      1479 |       4190 |   json
import time:        85 |         85 |   math
import time:        35 |         35 |   gc
import time:        62 |         62 |     _typing
import time:      4185 |       4246 |   typing
import time:      1847 |       1847 |     _uuid
import time:      1720 |       3566 |   uuid
import time:       331 |        331 |     _datetime
import time:      1628 |       1959 |   datetime
import time:        56 |         56 |       _contextvars
import time:      1338 |       1338 |       _weakrefset
import time:      1781 |       3174 |     threading
import time:      2300 |       2300 |             textwrap
import time:      1254 |       1254 |               _py_warnings
import time:      1278 |       2532 |             warnings
import time:      4275 |       4275 |               __future__
import time:      1234 |       5509 |             codeop
import time:      1283 |       1283 |               token
import time:        52 |         52 |               _tokenize
import time:      3138 |       4473 |             tokenize
import time:      1345 |       1345 |                   weakref
import time:      1191 |       2536 |                 copy
import time:      1653 |       1653 |                       _ast
import time:      6710 |       8362 |                     ast
import time:      1831 |      10193 |                   annotationlib
import time:        92 |         92 |                       _opcode
import time:      1570 |       1570 |                       _opcode_metadata
import time:      1808 |       3469 |                     opcode
import time:      3054 |       6523 |                   dis
import time:      3010 |      19725 |                 inspect
import time:      1728 |      23988 |               dataclasses
import time:     11693 |      35681 |             _colorize
import time:      2384 |       2384 |             contextlib
import time:      1865 |      54742 |           traceback
import time:        54 |         54 |             _string
import time:      1503 |       1557 |           string
import time:        56 |         56 |           atexit
import time:      3243 |      59596 |         logging
import time:     10729 |      10729 |         google.auth.version
import time:      8048 |       8048 |           google.auth.environment_vars
import time:      5248 |       5248 |           google.auth.exceptions
import time:      4750 |      18045 |         google.auth._default
import time:     10933 |      99302 |       google.auth
import time:      3629 |       3629 |         urllib
import time:      2562 |       2562 |         ipaddress
import time:      1862 |       8052 |       urllib.parse
import time:       104 |        104 |             _struct
import time:      1073 |       1176 |           struct
import time:        67 |         67 |           binascii
import time:      1319 |       2562 |         base64
import time:        85 |         85 |             _locale
import time:      3122 |       3207 |           locale
import time:      3621 |       6828 |         calendar
import time:      1467 |       1467 |           email
import time:      1173 |       1173 |           quopri
import time:       562 |        562 |             email._parseaddr
import time:       751 |       1313 |           email.utils
import time:       651 |        651 |           email.errors
import time:       434 |        434 |               email.quoprimime
import time:       357 |        357 |               email.base64mime
import time:       371 |        371 |                 email.encoders
import time:       460 |        831 |               email.charset
import time:       798 |       2419 |             email.header
import time:       630 |       3048 |           email._policybase
import time:       709 |        709 |           email._encoded_words
import time:       473 |        473 |           email.iterators
import time:      1151 |       9981 |         email.message
import time:      6926 |       6926 |           _hashlib
import time:        83 |         83 |           _blake2
import time:      1571 |       8579 |         hashlib
import time:      4418 |      32366 |       google.auth._helpers
import time:      1097 |       1097 |               concurrent
import time:      2388 |       2388 |               concurrent.futures._base
import time:       312 |        312 |               _interpreters
import time:       765 |       4561 |             concurrent.futures
import time:        74 |         74 |               _heapq
import time:      2357 |       2430 |             heapq
import time:      2585 |       2585 |               _socket
import time:      2319 |       4904 |             socket
import time:      1354 |       1354 |               signal
import time:      2397 |       2397 |               fcntl
import time:        71 |         71 |               msvcrt
import time:      2035 |       5856 |             subprocess
import time:      3707 |       3707 |               _ssl
import time:      5272 |       8979 |             ssl
import time:       756 |        756 |             asyncio.constants
import time:       473 |        473 |             asyncio.coroutines
import time:      1247 |       1247 |               contextvars
import time:       450 |        450 |               asyncio.format_helpers
import time:       626 |        626 |                 asyncio.base_futures
import time:       580 |        580 |                 asyncio.exceptions
import time:       499 |        499 |                 asyncio.base_tasks
import time:      1654 |       3357 |               _asyncio
import time:       899 |       5951 |             asyncio.events
import time:       649 |        649 |             asyncio.futures
import time:       626 |        626 |             asyncio.protocols
import time:      2718 |       2718 |               asyncio.transports
import time:       656 |        656 |               asyncio.log
import time:      4139 |       7512 |             asyncio.sslproto
import time:       485 |        485 |                 asyncio.mixins
import time:       925 |       1410 |               asyncio.locks
import time:       539 |        539 |                 asyncio.queues
